IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE_EN_CM;HAUTEUR_EN_M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE_OU_CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo_point
132669.0;Hêtre;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;Arbre;Jardin;PARIS 5E ARRDT;;;75;90.0;3.0;Mature;Inconnue;''Tortuosa'';1904-12-31T19:52:33-04:17;OUI;48.8448875264,2.35366916319
112222.0;Micocoulier;Celtis;australis;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15/mai;;303005;225.0;18.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8426413167,2.29609110812
155788.0;Plaqueminier;Diospyros;lotus;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20/jan;;D00000077016;111.0;12.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8620845688,2.3985769149
201570.0;Hêtre;Fagus;sylvatica;STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES;Arbre;DJS;PARIS 16E ARRDT;16-38;;470306001;320.0;15.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8642003629,2.26796037248
2002393.0;Hêtre;Fagus;sylvatica;PETITE ILE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16/nov;;801001;200.0;10.0;Mature;Inconnue;''Pendula'';1856-12-31T20:15:33-03:54;OUI;48.8613685289,2.25898794355
100818.0;Platane;Platanus;x hispanica;PARC DE BERCY;Arbre;Jardin;PARIS 12E ARRDT;dez/36;;373;502.0;35.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8341620932,2.38255442632
2002354.0;Hêtre;Fagus;sylvatica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-17;;701004;231.0;16.0;Mature;Inconnue;''Pendula'';1867-12-31T20:15:33-03:54;OUI;48.8731110898,2.24886478886
2002366.0;Platane;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;Arbre;Jardin;BOIS DE VINCENNES;dez/14;;dez/14;490.0;26.0;Mature;Inconnue;;1859-12-31T20:15:33-03:54;OUI;48.8338187551,2.41121935815
120299.0;Platane;Platanus;x hispanica;PARC MARCEL BLEUSTEIN BLANCHET / 1 RUE DE LA BONNE;Arbre;Jardin;PARIS 18E ARRDT;Amphithéâtre;;201003;356.0;27.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8877475167,2.34350851837
2002385.0;Chêne;Quercus;ilex;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE NOUVELLE;Arbre;Jardin;BOIS DE VINCENNES;dez/15;;dez/15;245.0;20.0;Mature;Inconnue;;1859-12-31T20:15:33-03:54;OUI;48.8183891866,2.43791851368
114867.0;Chêne;Quercus;ilex;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;;000206003 / 16-32;207.0;10.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8736809161,2.29025241063
136527.0;Arbre aux quarante écus;Ginkgo;biloba;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;50045;425.0;25.0;Mature;Inconnue;;1894-12-31T19:52:33-04:17;OUI;48.8476363794,2.25274648217
132542.0;Platane;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;Arbre;Jardin;PARIS 5E ARRDT;;;1;395.0;24.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8493511595,2.34503292777
109021.0;Platane;Platanus;x hispanica;SQUARE D AJACCIO / 127 RUE DE GRENELLE;Arbre;Jardin;PARIS 7E ARRDT;jul/13;;201005;480.0;25.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8577757733,2.3145304731
2002391.0;Arbre aux quarante écus;Ginkgo;biloba;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16/jan;;101002;210.0;17.0;Mature;Inconnue;;1892-12-31T20:15:33-03:54;OUI;48.8629082876,2.26157034611
106981.0;Arbre aux quarante écus;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Flatters;;31401018;340.0;20.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8229510204,2.33747224929
134203.0;Marronnier;Aesculus;pavia;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17/abr;;125;296.0;21.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8940926568,2.32633191622
302598.0;Platane;Platanus;x hispanica;JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL;Arbre;Jardin;PARIS 8E ARRDT;Secteur Grand Palais;;109003;583.0;29.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.865247802,2.31335175239
216766.0;Paulownia;Paulownia;tomentosa;RUE DE FURSTEMBERG;Arbre;Alignement;PARIS 6E ARRDT;;;101001;295.0;15.0;Mature;Guillot Bourne;;1999-01-24T22:00:00-03:00;OUI;48.8542732882,2.33573525468
302514.0;Sequoia;Sequoiadendron;giganteum;JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES;Arbre;Jardin;PARIS 8E ARRDT;Secteur Ambassadeurs;;103001;360.0;19.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.866975458,2.31951521699
135378.0;Platane;Platanus;orientalis;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17/ago;;187;468.0;30.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8875264747,2.31617875419
123071.0;Metaséquoia;Metasequoia;glyptostroboides;SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX;Arbre;Jardin;PARIS 17E ARRDT;;;101005;250.0;19.0;Mature;Inconnue;;1995-03-31T23:00:00-03:00;OUI;48.8939378118,2.3244386679
134212.0;Tulipier;Liriodendron;tulipifera;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17/mar;;134;253.0;18.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8946228565,2.3268523785
2002347.0;Cyprès Chauve;Taxodium;distichum;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16/jul;;301001;311.0;28.0;Mature;Inconnue;;1858-12-31T20:15:33-03:54;OUI;48.863263161,2.24072476384
2002357.0;Platane;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;dez/30;;dez/30;510.0;27.0;Mature;Inconnue;;1870-12-31T20:15:33-03:54;OUI;48.8292532091,2.41318205865
125051.0;Tamaris;Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;;;102002;230.0;3.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8523548437,2.35180991736
128372.0;Hêtre;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;Arbre;Jardin;PARIS 15E ARRDT;;;1;140.0;4.0;Adulte;Inconnue;''Pendula'';1972-12-31T22:00:00-03:00;OUI;48.836425027,2.29018563176
110444.0;Hêtre;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Lac et Berges;;41501007;150.0;5.0;Adulte;Inconnue;''Tortuosa'';1699-12-31T20:15:33-03:54;OUI;48.8233452352,2.33968342685
2002399.0;Catalpa;Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;Arbre;Jardin;BOIS DE VINCENNES;dez/38;;dez/38;289.0;10.0;Mature;Inconnue;;1999-12-31T22:00:00-03:00;OUI;48.8200711234,2.43516626469
2002358.0;Erable;Acer;opalus;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12/mai;;12/mai;210.0;14.0;Mature;Inconnue;;1869-12-31T20:15:33-03:54;OUI;48.8303745987,2.41349281717
102141.0;Platane;Platanus;x hispanica;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;19/ago;;H0690012;686.0;30.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8803354834,2.38130530981
124914.0;Noisetier de Byzance;Corylus;colurna;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;Arbre;Jardin;PARIS 11E ARRDT;11/jan;;201002;265.0;21.0;Mature;Inconnue;;1881-12-31T20:15:33-03:54;OUI;48.8618538525,2.37908776833
2002364.0;Platane;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12/nov;;12/nov;420.0;40.0;Mature;Inconnue;;1859-12-31T20:15:33-03:54;OUI;48.8323392302,2.41144640633
